time,value
2025-11-24 09:50:26,50.9
2025-11-24 10:10:26,51.0
2025-11-24 10:30:26,49.4
2025-11-24 10:50:26,53.3
2025-11-24 11:10:25,54.5
2025-11-24 11:30:25,54.8
2025-11-24 11:50:25,52.7
2025-11-24 12:10:25,51.7
2025-11-24 12:30:24,54.2
2025-11-24 12:50:24,52.9
2025-11-24 13:10:24,51.8
2025-11-24 13:30:24,51.4
2025-11-24 13:50:24,50.9
2025-11-24 14:10:23,50.6
2025-11-24 14:30:23,51.0
2025-11-24 14:50:23,50.6
2025-11-24 15:10:23,50.5
2025-11-24 15:30:22,50.6
2025-11-24 15:50:22,50.5
2025-11-24 16:10:22,50.4
2025-11-24 16:50:21,50.3
2025-11-24 17:50:21,50.2
2025-11-24 18:50:20,50.1
2025-11-24 19:30:19,50.0
2025-11-24 19:50:19,49.9
2025-11-24 20:30:19,49.8
2025-11-24 21:50:18,49.7
2025-11-24 23:50:16,49.6
2025-11-25 00:50:16,49.7
2025-11-25 02:10:15,49.6
2025-11-25 02:50:14,49.5
2025-11-25 03:10:14,49.4
2025-11-25 03:50:14,49.3
2025-11-25 04:30:13,49.2
2025-11-25 05:30:12,49.1
2025-11-25 05:50:12,49.0
2025-11-25 06:30:12,48.9
2025-11-25 06:50:11,48.6
2025-11-25 07:10:11,48.3
2025-11-25 07:30:11,43.9
2025-11-25 07:50:11,43.0
2025-11-25 08:10:10,43.3
2025-11-25 08:30:10,43.9
2025-11-25 08:50:10,43.2
2025-11-25 09:10:10,43.8
2025-11-25 09:30:09,44.5
2025-11-25 10:30:09,44.6
2025-11-25 10:50:09,44.2
2025-11-25 11:10:08,44.3
2025-11-25 11:30:08,44.1
2025-11-25 11:50:08,44.3
2025-11-25 12:30:07,44.4
2025-11-25 12:50:07,44.1
2025-11-25 13:10:07,44.2
2025-11-25 13:30:07,44.3
2025-11-25 13:50:06,44.4
2025-11-25 14:10:06,44.6
2025-11-25 14:30:06,44.7
2025-11-25 14:50:06,44.9
2025-11-25 15:50:05,44.8
2025-11-25 17:10:04,44.7
2025-11-25 18:10:03,44.6
2025-11-25 18:30:03,44.5
2025-11-25 18:50:03,44.4
2025-11-25 19:10:03,44.3
2025-11-25 19:30:02,44.1
2025-11-25 19:50:02,44.0
2025-11-25 20:10:02,43.9
2025-11-25 20:30:02,43.8
2025-11-25 20:50:01,43.6
2025-11-25 21:30:01,43.5
2025-11-25 21:50:01,43.4
2025-11-25 22:10:00,43.5
2025-11-25 22:50:00,43.6
2025-11-25 23:10:00,43.5
2025-11-25 23:29:59,43.6
2025-11-26 00:29:59,43.7
2025-11-26 02:09:58,43.8
2025-11-26 02:29:57,43.7
2025-11-26 02:49:57,43.8
2025-11-26 03:29:57,43.7
2025-11-26 04:09:56,43.8
2025-11-26 04:29:56,43.7
2025-11-26 06:49:54,43.6
2025-11-26 07:09:54,43.4
2025-11-26 07:29:54,43.3
2025-11-26 07:49:54,43.2
2025-11-26 08:09:53,43.1
2025-11-26 08:29:53,39.6
2025-11-26 08:49:53,39.5
2025-11-26 09:09:53,40.1
2025-11-26 09:29:52,41.0
2025-11-26 09:49:52,41.4
2025-11-26 10:09:52,41.8
2025-11-26 10:29:52,42.3
2025-11-26 10:49:51,42.8
2025-11-26 11:09:51,40.2
2025-11-26 11:29:51,39.9
2025-11-26 11:49:51,40.5
2025-11-26 12:09:50,40.7
2025-11-26 12:49:50,40.8
2025-11-26 13:29:49,40.9
2025-11-26 13:49:49,41.0
2025-11-26 14:09:49,41.3
2025-11-26 15:09:48,41.5
2025-11-26 15:29:48,41.4
2025-11-26 15:49:48,41.5
2025-11-26 16:29:47,41.6
2025-11-26 17:09:47,41.7
2025-11-26 19:29:45,41.6
2025-11-26 20:09:45,41.5
2025-11-26 20:29:44,41.3
2025-11-26 20:49:44,41.2
2025-11-26 21:09:44,41.1
2025-11-26 21:29:44,41.0
2025-11-26 21:49:44,41.1
2025-11-26 22:49:43,41.2
2025-11-27 00:09:42,41.3
2025-11-27 06:09:38,41.2
2025-11-27 06:49:37,41.0
2025-11-27 07:09:37,40.8
2025-11-27 07:29:37,35.2
2025-11-27 07:49:36,34.7
2025-11-27 08:09:36,34.6
2025-11-27 08:29:36,35.0
2025-11-27 08:49:36,36.1
2025-11-27 09:09:35,36.7
2025-11-27 09:29:35,35.3
2025-11-27 09:49:35,36.1
2025-11-27 10:09:35,35.5
2025-11-27 10:49:34,33.8
2025-11-27 11:09:34,34.8
2025-11-27 11:29:34,34.3
2025-11-27 11:49:34,34.8
2025-11-27 12:09:33,34.6
2025-11-27 12:29:33,35.4
2025-11-27 12:49:33,35.8
2025-11-27 13:09:33,36.0
2025-11-27 13:29:32,36.2
2025-11-27 13:49:32,36.4
2025-11-27 14:09:32,36.6
2025-11-27 14:29:32,36.8
2025-11-27 14:49:31,37.0
2025-11-27 15:09:31,37.1
2025-11-27 15:29:31,37.0
2025-11-27 15:49:31,37.1
2025-11-27 16:09:30,37.2
2025-11-27 16:49:30,37.3
2025-11-27 17:29:29,37.4
2025-11-27 18:09:29,37.5
2025-11-27 18:29:29,37.4
2025-11-27 19:49:28,37.3
2025-11-27 22:09:26,37.4
2025-11-27 22:29:26,37.5
2025-11-27 23:09:25,37.6
2025-11-27 23:29:25,37.7
2025-11-28 00:29:24,37.8
2025-11-28 01:09:24,37.9
2025-11-28 02:29:23,38.0
2025-11-28 03:29:22,38.1
2025-11-28 04:09:22,38.2
2025-11-28 04:29:22,38.1
2025-11-28 04:49:21,38.2
2025-11-28 05:09:21,38.1
2025-11-28 05:29:21,38.2
2025-11-28 09:29:18,38.3
2025-11-28 11:09:17,38.4
2025-11-28 12:09:16,38.5
2025-11-28 12:29:16,38.4
2025-11-28 12:49:16,38.5
2025-11-28 13:49:15,38.6
2025-11-28 15:09:14,38.7
2025-11-28 15:49:14,38.8
2025-11-28 17:29:12,38.9
2025-11-28 18:49:11,39.0
2025-11-28 19:29:11,39.1
2025-11-28 21:09:10,39.2
2025-11-28 22:29:09,39.3
2025-11-28 22:49:09,39.2
