pais,continente,region,poblacion,PIB
Afghanistan,Asia,Southern Asia,31056997.0,700.0
Albania,Europe,Southern Europe,,4500.0
Algeria,Africa,Northern Africa,32930091.0,6000.0
American Samoa,Oceania,Polynesia,57794.0,8000.0
Andorra,Europe,Southern Europe,71201.0,19000.0
Angola,Africa,Sub-Saharan Africa,12127071.0,1900.0
Anguilla,Americas,Latin America and the Caribbean,13477.0,8600.0
Argentina,Americas,Latin America and the Caribbean,39921833.0,11200.0
Armenia,Asia,Western Asia,2976372.0,3500.0
Aruba,Americas,Latin America and the Caribbean,71891.0,28000.0
Australia,Oceania,Australia and New Zealand,20264082.0,29000.0
Austria,Europe,Western Europe,8192880.0,30000.0
Azerbaijan,Asia,Western Asia,7961619.0,3400.0
Bahrain,Asia,Western Asia,698585.0,16900.0
Bangladesh,Asia,Southern Asia,147365352.0,1900.0
Barbados,Americas,Latin America and the Caribbean,279912.0,15700.0
Belarus,Europe,Eastern Europe,10293011.0,6100.0
Belgium,Europe,Western Europe,10379067.0,29100.0
Belize,Americas,Latin America and the Caribbean,287730.0,4900.0
Benin,Africa,Sub-Saharan Africa,7862944.0,1100.0
Bermuda,Americas,Northern America,65773.0,36000.0
Bhutan,Asia,Southern Asia,2279723.0,1300.0
Bolivia,Americas,Latin America and the Caribbean,8989046.0,2400.0
Botswana,Africa,Sub-Saharan Africa,1639833.0,9000.0
Brazil,Americas,Latin America and the Caribbean,188078227.0,7600.0
Bulgaria,Europe,Eastern Europe,7385367.0,7600.0
Burkina Faso,Africa,Sub-Saharan Africa,13902972.0,1100.0
Burundi,Africa,Sub-Saharan Africa,8090068.0,600.0
Cambodia,Asia,South-eastern Asia,13881427.0,1900.0
Cameroon,Africa,Sub-Saharan Africa,17340702.0,1800.0
Canada,Americas,Northern America,33098932.0,29800.0
Cayman Islands,Americas,Latin America and the Caribbean,45436.0,35000.0
Chad,Africa,Sub-Saharan Africa,9944201.0,1200.0
Chile,Americas,Latin America and the Caribbean,16134219.0,9900.0
China,Asia,Eastern Asia,1313973713.0,5000.0
Colombia,Americas,Latin America and the Caribbean,43593035.0,6300.0
Comoros,Africa,Sub-Saharan Africa,690948.0,700.0
Cook Islands,Oceania,Polynesia,21388.0,5000.0
Costa Rica,Americas,Latin America and the Caribbean,4075261.0,9100.0
Croatia,Europe,Southern Europe,4494749.0,10600.0
Cuba,Americas,Latin America and the Caribbean,11382820.0,2900.0
Cyprus,Asia,Western Asia,784301.0,19200.0
Czech Republic,Europe,Eastern Europe,10235455.0,15700.0
Denmark,Europe,Northern Europe,5450661.0,31100.0
Djibouti,Africa,Sub-Saharan Africa,486530.0,1300.0
Dominica,Americas,Latin America and the Caribbean,68910.0,5400.0
Dominican Republic,Americas,Latin America and the Caribbean,9183984.0,6000.0
Ecuador,Americas,Latin America and the Caribbean,13547510.0,3300.0
Egypt,Africa,Northern Africa,78887007.0,4000.0
El Salvador,Americas,Latin America and the Caribbean,6822378.0,4800.0
Equatorial Guinea,Africa,Sub-Saharan Africa,540109.0,2700.0
Eritrea,Africa,Sub-Saharan Africa,4786994.0,700.0
Estonia,Europe,Northern Europe,1324333.0,12300.0
Ethiopia,Africa,Sub-Saharan Africa,74777981.0,700.0
Faroe Islands,Europe,Northern Europe,47246.0,22000.0
Fiji,Oceania,Melanesia,905949.0,5800.0
Finland,Europe,Northern Europe,5231372.0,27400.0
France,Europe,Western Europe,60876136.0,27600.0
French Guiana,Americas,Latin America and the Caribbean,199509.0,8300.0
French Polynesia,Oceania,Polynesia,274578.0,17500.0
Gabon,Africa,Sub-Saharan Africa,1424906.0,5500.0
Georgia,Asia,Western Asia,4661473.0,2500.0
Germany,Europe,Western Europe,82422299.0,27600.0
Ghana,Africa,Sub-Saharan Africa,22409572.0,2200.0
Gibraltar,Europe,Southern Europe,27928.0,17500.0
Greece,Europe,Southern Europe,10688058.0,20000.0
Greenland,Americas,Northern America,56361.0,20000.0
Grenada,Americas,Latin America and the Caribbean,89703.0,5000.0
Guadeloupe,Americas,Latin America and the Caribbean,452776.0,8000.0
Guam,Oceania,Micronesia,171019.0,21000.0
Guatemala,Americas,Latin America and the Caribbean,12293545.0,4100.0
Guernsey,Europe,Northern Europe,65409.0,20000.0
Guinea,Africa,Sub-Saharan Africa,9690222.0,2100.0
Guyana,Americas,Latin America and the Caribbean,767245.0,4000.0
Haiti,Americas,Latin America and the Caribbean,8308504.0,1600.0
Honduras,Americas,Latin America and the Caribbean,7326496.0,2600.0
Hong Kong,Asia,Eastern Asia,6940432.0,28800.0
Hungary,Europe,Eastern Europe,9981334.0,13900.0
Iceland,Europe,Northern Europe,299388.0,30900.0
India,Asia,Southern Asia,1095351995.0,2900.0
Indonesia,Asia,South-eastern Asia,245452739.0,3200.0
Iran,Asia,Southern Asia,68688433.0,7000.0
Iraq,Asia,Western Asia,26783383.0,1500.0
