pais,continente,region,poblacion,PIB
Afghanistan,Asia,Southern Asia,31056997,700.0
Albania,Europe,Southern Europe,3581655,4500.0
Algeria,Africa,Northern Africa,32930091,6000.0
American Samoa,Oceania,Polynesia,57794,8000.0
Andorra,Europe,Southern Europe,71201,19000.0
Angola,Africa,Sub-Saharan Africa,12127071,1900.0
Anguilla,Americas,Latin America and the Caribbean,13477,8600.0
Argentina,Americas,Latin America and the Caribbean,39921833,11200.0
Armenia,Asia,Western Asia,2976372,3500.0
Aruba,Americas,Latin America and the Caribbean,71891,28000.0
Australia,Oceania,Australia and New Zealand,20264082,29000.0
Austria,Europe,Western Europe,8192880,30000.0
Azerbaijan,Asia,Western Asia,7961619,3400.0
Bahrain,Asia,Western Asia,698585,16900.0
Bangladesh,Asia,Southern Asia,147365352,1900.0
Barbados,Americas,Latin America and the Caribbean,279912,15700.0
Belarus,Europe,Eastern Europe,10293011,6100.0
Belgium,Europe,Western Europe,10379067,29100.0
Belize,Americas,Latin America and the Caribbean,287730,4900.0
Benin,Africa,Sub-Saharan Africa,7862944,1100.0
Bermuda,Americas,Northern America,65773,36000.0
Bhutan,Asia,Southern Asia,2279723,1300.0
Bolivia,Americas,Latin America and the Caribbean,8989046,2400.0
Botswana,Africa,Sub-Saharan Africa,1639833,9000.0
Brazil,Americas,Latin America and the Caribbean,188078227,7600.0
Bulgaria,Europe,Eastern Europe,7385367,7600.0
Burkina Faso,Africa,Sub-Saharan Africa,13902972,1100.0
Burundi,Africa,Sub-Saharan Africa,8090068,600.0
Cambodia,Asia,South-eastern Asia,13881427,1900.0
Cameroon,Africa,Sub-Saharan Africa,17340702,1800.0
Canada,Americas,Northern America,33098932,29800.0
Cayman Islands,Americas,Latin America and the Caribbean,45436,35000.0
Chad,Africa,Sub-Saharan Africa,9944201,1200.0
Chile,Americas,Latin America and the Caribbean,16134219,9900.0
China,Asia,Eastern Asia,1313973713,5000.0
Colombia,Americas,Latin America and the Caribbean,43593035,6300.0
Comoros,Africa,Sub-Saharan Africa,690948,700.0
Cook Islands,Oceania,Polynesia,21388,5000.0
Costa Rica,Americas,Latin America and the Caribbean,4075261,9100.0
Croatia,Europe,Southern Europe,4494749,10600.0
Cuba,Americas,Latin America and the Caribbean,11382820,2900.0
Cyprus,Asia,Western Asia,784301,19200.0
Czech Republic,Europe,Eastern Europe,10235455,15700.0
Denmark,Europe,Northern Europe,5450661,31100.0
Djibouti,Africa,Sub-Saharan Africa,486530,1300.0
Dominica,Americas,Latin America and the Caribbean,68910,5400.0
Dominican Republic,Americas,Latin America and the Caribbean,9183984,6000.0
Ecuador,Americas,Latin America and the Caribbean,13547510,3300.0
Egypt,Africa,Northern Africa,78887007,4000.0
El Salvador,Americas,Latin America and the Caribbean,6822378,4800.0
Equatorial Guinea,Africa,Sub-Saharan Africa,540109,2700.0
Eritrea,Africa,Sub-Saharan Africa,4786994,700.0
Estonia,Europe,Northern Europe,1324333,12300.0
Ethiopia,Africa,Sub-Saharan Africa,74777981,700.0
Faroe Islands,Europe,Northern Europe,47246,22000.0
Fiji,Oceania,Melanesia,905949,5800.0
Finland,Europe,Northern Europe,5231372,27400.0
France,Europe,Western Europe,60876136,27600.0
French Guiana,Americas,Latin America and the Caribbean,199509,8300.0
French Polynesia,Oceania,Polynesia,274578,17500.0
Gabon,Africa,Sub-Saharan Africa,1424906,5500.0
Georgia,Asia,Western Asia,4661473,2500.0
Germany,Europe,Western Europe,82422299,27600.0
Ghana,Africa,Sub-Saharan Africa,22409572,2200.0
Gibraltar,Europe,Southern Europe,27928,17500.0
Greece,Europe,Southern Europe,10688058,20000.0
Greenland,Americas,Northern America,56361,20000.0
Grenada,Americas,Latin America and the Caribbean,89703,5000.0
Guadeloupe,Americas,Latin America and the Caribbean,452776,8000.0
Guam,Oceania,Micronesia,171019,21000.0
Guatemala,Americas,Latin America and the Caribbean,12293545,4100.0
Guernsey,Europe,Northern Europe,65409,20000.0
Guinea,Africa,Sub-Saharan Africa,9690222,2100.0
Guyana,Americas,Latin America and the Caribbean,767245,4000.0
Haiti,Americas,Latin America and the Caribbean,8308504,1600.0
Honduras,Americas,Latin America and the Caribbean,7326496,2600.0
Hong Kong,Asia,Eastern Asia,6940432,28800.0
Hungary,Europe,Eastern Europe,9981334,13900.0
Iceland,Europe,Northern Europe,299388,30900.0
India,Asia,Southern Asia,1095351995,2900.0
Indonesia,Asia,South-eastern Asia,245452739,3200.0
Iran,Asia,Southern Asia,68688433,7000.0
Iraq,Asia,Western Asia,26783383,1500.0
Ireland,Europe,Northern Europe,4062235,29600.0
Isle of Man,Europe,Northern Europe,75441,21000.0
Israel,Asia,Western Asia,6352117,19800.0
Italy,Europe,Southern Europe,58133509,26700.0
Jamaica,Americas,Latin America and the Caribbean,2758124,3900.0
Japan,Asia,Eastern Asia,127463611,28200.0
Jersey,Europe,Northern Europe,91084,24800.0
Jordan,Asia,Western Asia,5906760,4300.0
Kazakhstan,Asia,Central Asia,15233244,6300.0
Kenya,Africa,Sub-Saharan Africa,34707817,1000.0
Kiribati,Oceania,Micronesia,105432,800.0
Kuwait,Asia,Western Asia,2418393,19000.0
Kyrgyzstan,Asia,Central Asia,5213898,1600.0
Laos,Asia,South-eastern Asia,6368481,1700.0
Latvia,Europe,Northern Europe,2274735,10200.0
Lebanon,Asia,Western Asia,3874050,4800.0
Lesotho,Africa,Sub-Saharan Africa,2022331,3000.0
Liberia,Africa,Sub-Saharan Africa,3042004,1000.0
Libya,Africa,Northern Africa,5900754,6400.0
Liechtenstein,Europe,Western Europe,33987,25000.0
Lithuania,Europe,Northern Europe,3585906,11400.0
Luxembourg,Europe,Western Europe,474413,55100.0
Madagascar,Africa,Sub-Saharan Africa,18595469,800.0
Malawi,Africa,Sub-Saharan Africa,13013926,600.0
Malaysia,Asia,South-eastern Asia,24385858,9000.0
Maldives,Asia,Southern Asia,359008,3900.0
Mali,Africa,Sub-Saharan Africa,11716829,900.0
Malta,Europe,Southern Europe,400214,17700.0
Marshall Islands,Oceania,Micronesia,60422,1600.0
Martinique,Americas,Latin America and the Caribbean,436131,14400.0
Mauritania,Africa,Sub-Saharan Africa,3177388,1800.0
Mauritius,Africa,Sub-Saharan Africa,1240827,11400.0
Mayotte,Africa,Sub-Saharan Africa,201234,2600.0
Mexico,Americas,Latin America and the Caribbean,107449525,9000.0
Moldova,Europe,Eastern Europe,4466706,1800.0
Monaco,Europe,Western Europe,32543,27000.0
Mongolia,Asia,Eastern Asia,2832224,1800.0
Montserrat,Americas,Latin America and the Caribbean,9439,3400.0
Morocco,Africa,Northern Africa,33241259,4000.0
Mozambique,Africa,Sub-Saharan Africa,19686505,1200.0
Namibia,Africa,Sub-Saharan Africa,2044147,7200.0
Nauru,Oceania,Micronesia,13287,5000.0
Nepal,Asia,Southern Asia,28287147,1400.0
Netherlands,Europe,Western Europe,16491461,28600.0
New Caledonia,Oceania,Melanesia,219246,15000.0
New Zealand,Oceania,Australia and New Zealand,4076140,21600.0
Nicaragua,Americas,Latin America and the Caribbean,5570129,2300.0
Niger,Africa,Sub-Saharan Africa,12525094,800.0
Nigeria,Africa,Sub-Saharan Africa,131859731,900.0
Macedonia,Europe,Southern Europe,2050554,6700.0
Norway,Europe,Northern Europe,4610820,37800.0
Oman,Asia,Western Asia,3102229,13100.0
Pakistan,Asia,Southern Asia,165803560,2100.0
Palau,Oceania,Micronesia,20579,9000.0
Panama,Americas,Latin America and the Caribbean,3191319,6300.0
Papua New Guinea,Oceania,Melanesia,5670544,2200.0
Paraguay,Americas,Latin America and the Caribbean,6506464,4700.0
