[2026-04-22 16:25:24] MEM: 65.0%
[2026-04-22 16:53:06] MEM: RAM 62.1% | SWAP 4.3%
[2026-04-22 16:53:23] MEM: RAM 61.8% | SWAP 4.3%
[2026-04-22 16:53:40] MEM: RAM 61.6% | SWAP 4.3%
[2026-04-22 16:53:57] MEM: RAM 62.2% | SWAP 4.3%
[2026-04-22 16:54:14] MEM: RAM 61.8% | SWAP 4.3%
[2026-04-22 17:36:37] MEM: RAM 28.6% | SWAP 0.0%
[2026-04-22 17:39:00] MEM: RAM 25.4% | SWAP 0.0%
[2026-04-22 17:39:16] MEM: RAM 25.3% | SWAP 0.0%
[2026-04-22 17:39:33] MEM: RAM 25.5% | SWAP 0.0%
[2026-04-22 17:39:39] MEM: RAM 25.4% | SWAP 0.0%
[2026-04-22 17:39:59] MEM: RAM 25.4% | SWAP 0.0%
[2026-04-22 17:40:19] MEM: RAM 25.9% | SWAP 0.0%
[2026-04-22 17:40:38] MEM: RAM 25.4% | SWAP 0.0%
[2026-04-22 17:43:15] MEM: RAM 27.1% | SWAP 0.0%
[2026-04-22 17:43:34] MEM: RAM 26.7% | SWAP 0.0%
[2026-04-22 17:43:54] MEM: RAM 26.8% | SWAP 0.0%
[2026-04-22 17:44:04] MEM: RAM 26.7% | SWAP 0.0%
[2026-04-22 17:44:24] MEM: RAM 27.0% | SWAP 0.0%
[2026-04-22 17:44:44] MEM: RAM 27.2% | SWAP 0.0%
[2026-04-22 17:45:03] MEM: RAM 27.2% | SWAP 0.0%
[2026-04-22 17:45:23] MEM: RAM 27.2% | SWAP 0.0%
[2026-04-22 17:45:42] MEM: RAM 28.1% | SWAP 0.0%
[2026-04-22 17:46:02] MEM: RAM 27.3% | SWAP 0.0%
[2026-04-22 17:46:21] MEM: RAM 27.3% | SWAP 0.0%
[2026-04-22 17:46:41] MEM: RAM 27.1% | SWAP 0.0%
[2026-04-22 17:47:00] MEM: RAM 27.7% | SWAP 0.0%
[2026-04-22 17:47:20] MEM: RAM 27.3% | SWAP 0.0%
[2026-04-22 17:47:39] MEM: RAM 27.3% | SWAP 0.0%
[2026-04-22 17:48:00] MEM: RAM 27.4% | SWAP 0.0%
[2026-04-22 17:48:19] MEM: RAM 27.8% | SWAP 0.0%
[2026-04-22 17:48:39] MEM: RAM 27.7% | SWAP 0.0%
[2026-04-22 17:48:58] MEM: RAM 27.6% | SWAP 0.0%
[2026-04-22 17:49:18] MEM: RAM 27.5% | SWAP 0.0%
[2026-04-22 17:49:37] MEM: RAM 27.5% | SWAP 0.0%
[2026-04-22 17:49:54] MEM: RAM 27.4% | SWAP 0.0%
[2026-04-22 17:50:14] MEM: RAM 27.3% | SWAP 0.0%
[2026-04-22 17:50:34] MEM: RAM 27.3% | SWAP 0.0%
[2026-04-22 17:50:54] MEM: RAM 27.3% | SWAP 0.0%
[2026-04-22 17:51:14] MEM: RAM 27.4% | SWAP 0.0%
[2026-04-22 17:51:33] MEM: RAM 28.0% | SWAP 0.0%
[2026-04-22 17:51:53] MEM: RAM 27.6% | SWAP 0.0%
[2026-04-22 17:52:12] MEM: RAM 27.3% | SWAP 0.0%
[2026-04-22 17:52:32] MEM: RAM 27.8% | SWAP 0.0%
[2026-04-22 17:52:51] MEM: RAM 28.0% | SWAP 0.0%
[2026-04-22 17:53:11] MEM: RAM 27.7% | SWAP 0.0%
[2026-04-22 17:53:31] MEM: RAM 27.9% | SWAP 0.0%
[2026-04-22 17:53:51] MEM: RAM 27.9% | SWAP 0.0%
[2026-04-22 17:54:10] MEM: RAM 28.6% | SWAP 0.0%
[2026-04-22 17:54:30] MEM: RAM 28.5% | SWAP 0.0%
[2026-04-22 17:54:49] MEM: RAM 27.8% | SWAP 0.0%
[2026-04-22 17:55:09] MEM: RAM 27.9% | SWAP 0.0%
[2026-04-22 17:55:28] MEM: RAM 27.9% | SWAP 0.0%
[2026-04-22 17:55:48] MEM: RAM 27.8% | SWAP 0.0%
[2026-04-22 17:56:07] MEM: RAM 28.0% | SWAP 0.0%
[2026-04-22 17:57:43] MEM: RAM 31.5% | SWAP 0.0%
[2026-04-22 17:58:04] MEM: RAM 31.2% | SWAP 0.0%
